peripheral,address,value
QUADSPI,0x52005000,0x01400001
QUADSPI,0x52005004,0x00160100
QUADSPI,0x52005008,0x00001e20
QUADSPI,0x5200500C,0x00000000
QUADSPI,0x52005010,0x00000000
QUADSPI,0x52005014,0x1f18edeb
QUADSPI,0x52005018,0x00040000
QUADSPI,0x5200501C,0x000000a0
QUADSPI,0x52005020,0x00000000
QUADSPI,0x52005024,0x00000001
QUADSPI,0x52005028,0x00000000
QUADSPI,0x5200502C,0x00000010
QUADSPI,0x52005030,0x00000000
RCC,0x58024400,0x3f03f025
RCC,0x58024404,0x40000907
RCC,0x58024408,0x0000016a
RCC,0x5802440C,0x2000006e
RCC,0x58024410,0x0000001b
RCC,0x58024414,0x00000000
RCC,0x58024418,0x00000048
RCC,0x5802441C,0x00000440
RCC,0x58024420,0x00000040
RCC,0x58024424,0x00000000
RCC,0x58024428,0x00601042
RCC,0x5802442C,0x016f0599
RCC,0x58024430,0x010402ef
RCC,0x58024434,0x00000000
RCC,0x58024438,0x00010e0b
RCC,0x5802443C,0x00008000
RCC,0x58024440,0x1f031f26
RCC,0x58024444,0x00000000
RCC,0x58024448,0x00000000
RCC,0x5802444C,0x00010002
RCC,0x58024450,0x00001082
RCC,0x58024454,0x00300000
RCC,0x58024458,0x00010000
RCC,0x5802445C,0x00000000
RCC,0x58024460,0x00000000
RCC,0x58024464,0x00000000
RCC,0x58024468,0x00000000
RCC,0x5802446C,0x00000000
RCC,0x58024470,0x00000000
RCC,0x58024474,0x00000000
RCC,0x58024478,0x00000000
RCC,0x5802447C,0x00000000
RCC,0x58024480,0x00000000
RCC,0x58024484,0x00000000
RCC,0x58024488,0x00000000
RCC,0x5802448C,0x00000000
RCC,0x58024490,0x00000000
RCC,0x58024494,0x00000000
RCC,0x58024498,0x00000000
RCC,0x5802449C,0x00000000
RCC,0x580244A0,0x00000000
RCC,0x580244A4,0x00000000
RCC,0x580244A8,0x00000000
RCC,0x580244AC,0x00000000
RCC,0x580244B0,0x00000000
RCC,0x580244B4,0x00000000
RCC,0x580244B8,0x00000000
RCC,0x580244BC,0x00000000
RCC,0x580244C0,0x00000000
RCC,0x580244C4,0x00000000
RCC,0x580244C8,0x00000000
RCC,0x580244CC,0x00000000
RCC,0x580244D0,0x01460000
RCC,0x580244D4,0x00015000
RCC,0x580244D8,0x0a000003
RCC,0x580244DC,0xe0000040
RCC,0x580244E0,0x100001ff
RCC,0x580244E4,0x00000000
RCC,0x580244E8,0x00000001
RCC,0x580244EC,0x00000000
RCC,0x580244F0,0x00400000
RCC,0x580244F4,0x00010000
RCC,0x580244F8,0x00000000
RCC,0x580244FC,0xf0015131
RCC,0x58024500,0x1e03c023
RCC,0x58024504,0xe0000271
RCC,0x58024508,0x312807ff
RCC,0x5802450C,0x00000058
RCC,0x58024510,0xe8ffcbff
RCC,0x58024514,0x00000136
RCC,0x58024518,0x31d73033
RCC,0x5802451C,0x0421deaa
RCC,0x58024520,0x00000000
RCC,0x58024524,0x00000000
RCC,0x58024528,0x00000000
RCC,0x5802452C,0x00000000
RCC,0x58024530,0x01460000
RCC,0x58024534,0x00015000
RCC,0x58024538,0x0a000003
RCC,0x5802453C,0xe0000040
PWR,0x58024800,0xf000c100
PWR,0x58024804,0x0000e000
PWR,0x58024808,0x00000000
PWR,0x5802480C,0x05000042
PWR,0x58024810,0x00000000
PWR,0x58024814,0x00000007
PWR,0x58024818,0x0000e000
PWR,0x5802481C,0x00000000
PWR,0x58024820,0x00000000
PWR,0x58024824,0x00000000
PWR,0x58024828,0x00000000
FLASH,0x52002000,0x00000034
FLASH,0x52002004,0x00000000
FLASH,0x52002008,0x00000000
FLASH,0x5200200C,0x00000031
FLASH,0x52002010,0x00000000
