peripheral,address,value
QUADSPI,0x52005000,0x07000001
QUADSPI,0x52005004,0x00160200
QUADSPI,0x52005008,0x00000000
QUADSPI,0x5200500C,0x00000000
QUADSPI,0x52005010,0x00000000
QUADSPI,0x52005014,0x20000000
QUADSPI,0x52005018,0x00000000
QUADSPI,0x5200501C,0x00000000
QUADSPI,0x52005020,0x00000000
QUADSPI,0x52005024,0x00000000
QUADSPI,0x52005028,0x00000000
QUADSPI,0x5200502C,0x00000000
QUADSPI,0x52005030,0x00000000
RCC,0x58024400,0x3f03f1a5
RCC,0x58024404,0x40000907
RCC,0x58024408,0x0000016a
RCC,0x5802440C,0x2000006e
RCC,0x58024410,0x0000001b
RCC,0x58024414,0x00000000
RCC,0x58024418,0x00000048
RCC,0x5802441C,0x00000440
RCC,0x58024420,0x00000040
RCC,0x58024424,0x00000000
RCC,0x58024428,0x00308082
RCC,0x5802442C,0x006d0922
RCC,0x58024430,0x010100c7
RCC,0x58024434,0x00000000
RCC,0x58024438,0x010102c7
RCC,0x5802443C,0x00000000
RCC,0x58024440,0x010124ae
RCC,0x58024444,0x00001aa0
RCC,0x58024448,0x00000000
RCC,0x5802444C,0x00000000
RCC,0x58024450,0x00000000
RCC,0x58024454,0x00300000
RCC,0x58024458,0x00000000
RCC,0x5802445C,0x00000000
RCC,0x58024460,0x00000000
RCC,0x58024464,0x00000000
RCC,0x58024468,0x00000000
RCC,0x5802446C,0x00000000
RCC,0x58024470,0x00000000
RCC,0x58024474,0x00000003
RCC,0x58024478,0x00000000
RCC,0x5802447C,0x00000000
RCC,0x58024480,0x00000000
RCC,0x58024484,0x00000000
RCC,0x58024488,0x00000000
RCC,0x5802448C,0x00000000
RCC,0x58024490,0x00000000
RCC,0x58024494,0x00000000
RCC,0x58024498,0x00000000
RCC,0x5802449C,0x00000000
RCC,0x580244A0,0x00000000
RCC,0x580244A4,0x00000000
RCC,0x580244A8,0x00000000
RCC,0x580244AC,0x00000000
RCC,0x580244B0,0x00000000
RCC,0x580244B4,0x00000000
RCC,0x580244B8,0x00000000
RCC,0x580244BC,0x00000000
RCC,0x580244C0,0x00000000
RCC,0x580244C4,0x00000000
RCC,0x580244C8,0x00000000
RCC,0x580244CC,0x00000000
RCC,0x580244D0,0x01460000
RCC,0x580244D4,0x00004000
RCC,0x580244D8,0x08000000
RCC,0x580244DC,0x00000000
RCC,0x580244E0,0x10000065
RCC,0x580244E4,0x00000000
RCC,0x580244E8,0x00000000
RCC,0x580244EC,0x00000000
RCC,0x580244F0,0x00000000
RCC,0x580244F4,0x00010002
RCC,0x580244F8,0x00000000
RCC,0x580244FC,0xf0015131
RCC,0x58024500,0x1e03c023
RCC,0x58024504,0xe0000271
RCC,0x58024508,0x312807ff
RCC,0x5802450C,0x00000058
RCC,0x58024510,0xe8ffcbff
RCC,0x58024514,0x00000136
RCC,0x58024518,0x31d73033
RCC,0x5802451C,0x0421deaa
RCC,0x58024520,0x00000000
RCC,0x58024524,0x00000000
RCC,0x58024528,0x00000000
RCC,0x5802452C,0x00000000
RCC,0x58024530,0x01460000
RCC,0x58024534,0x00004000
RCC,0x58024538,0x08000000
RCC,0x5802453C,0x00000000
PWR,0x58024800,0xf000c100
PWR,0x58024804,0x0000e000
PWR,0x58024808,0x00000000
PWR,0x5802480C,0x05000042
PWR,0x58024810,0x00000000
PWR,0x58024814,0x00000007
PWR,0x58024818,0x0000e000
PWR,0x5802481C,0x00000000
PWR,0x58024820,0x00000000
PWR,0x58024824,0x00000000
PWR,0x58024828,0x00000000
FLASH,0x52002000,0x00000022
FLASH,0x52002004,0x00000000
FLASH,0x52002008,0x00000000
FLASH,0x5200200C,0x00000031
FLASH,0x52002010,0x00000000
FLASH,0x52002014,0x00000000
FLASH,0x52002018,0x00000001
FLASH,0x5200201C,0x1bc6aaf0
FLASH,0x52002020,0x1bc6aaf0
FLASH,0x52002024,0x00000000
FLASH,0x52002028,0x000000ff
FLASH,0x5200202C,0x000000ff
FLASH,0x52002030,0x000000ff
FLASH,0x52002034,0x000000ff
FLASH,0x52002038,0x000000ff
FLASH,0x5200203C,0x000000ff
FLASH,0x52002040,0x1ff00800
FLASH,0x52002044,0x1ff00800
FLASH,0x52002048,0x10000810
FLASH,0x5200204C,0x10000810
FLASH,0x52002050,0x001c0000
FLASH,0x52002054,0x00000000
FLASH,0x52002058,0x00000000
FLASH,0x5200205C,0x00000000
SYSCFG,0x58000400,0x00000000
SYSCFG,0x58000404,0x03000000
SYSCFG,0x58000408,0x00000000
SYSCFG,0x5800040C,0x00000000
SYSCFG,0x58000410,0x00000000
SYSCFG,0x58000414,0x00000000
SYSCFG,0x58000418,0x00000000
SYSCFG,0x5800041C,0x00000000
SYSCFG,0x58000420,0x00000101
SYSCFG,0x58000424,0x0000009a
GPIOA,0x58020000,0xaabfffff
GPIOA,0x58020004,0x00000000
GPIOA,0x58020008,0x0c000000
GPIOA,0x5802000C,0x64000000
GPIOA,0x58020010,0x00008000
GPIOA,0x58020014,0x00000000
GPIOA,0x58020018,0x00000000
GPIOA,0x5802001C,0x00000000
GPIOA,0x58020020,0x00000000
GPIOA,0x58020024,0x000aa000
GPIOB,0x58020400,0xfffffebf
GPIOB,0x58020404,0xfffffebf
GPIOB,0x58020408,0xfffffebf
GPIOB,0x5802040C,0xfffffebf
GPIOB,0x58020410,0xfffffebf
GPIOB,0x58020414,0xfffffebf
GPIOB,0x58020418,0xfffffebf
GPIOB,0x5802041C,0xfffffebf
GPIOB,0x58020420,0xfffffebf
GPIOB,0x58020424,0xfffffebf
GPIOC,0x58020800,0xffff7fff
GPIOC,0x58020804,0x00000000
GPIOC,0x58020808,0x00000000
GPIOC,0x5802080C,0x00000000
GPIOC,0x58020810,0x00000000
GPIOC,0x58020814,0x00000000
GPIOC,0x58020818,0x00000000
GPIOC,0x5802081C,0x00000000
GPIOC,0x58020820,0x00000000
GPIOC,0x58020824,0x00000000
GPIOD,0x58020C00,0xffffffff
GPIOD,0x58020C04,0xffffffff
GPIOD,0x58020C08,0xffffffff
GPIOD,0x58020C0C,0xffffffff
GPIOD,0x58020C10,0xffffffff
GPIOD,0x58020C14,0xffffffff
GPIOD,0x58020C18,0xffffffff
GPIOD,0x58020C1C,0xffffffff
GPIOD,0x58020C20,0xffffffff
GPIOD,0x58020C24,0xffffffff
GPIOE,0x58021000,0xffffffff
GPIOE,0x58021004,0xffffffff
GPIOE,0x58021008,0xffffffff
GPIOE,0x5802100C,0xffffffff
GPIOE,0x58021010,0xffffffff
GPIOE,0x58021014,0xffffffff
GPIOE,0x58021018,0xffffffff
GPIOE,0x5802101C,0xffffffff
GPIOE,0x58021020,0xffffffff
GPIOE,0x58021024,0xffffffff
GPIOF,0x58021400,0xffeaafff
GPIOF,0x58021404,0x00000000
GPIOF,0x58021408,0x003ff000
GPIOF,0x5802140C,0x00000000
GPIOF,0x58021410,0x000003c0
GPIOF,0x58021414,0x00000000
GPIOF,0x58021418,0x00000000
GPIOF,0x5802141C,0x00000000
GPIOF,0x58021420,0x99000000
GPIOF,0x58021424,0x000009aa
GPIOG,0x58021800,0xffffefff
GPIOG,0x58021804,0x00000000
GPIOG,0x58021808,0x00003000
GPIOG,0x5802180C,0x00000000
GPIOG,0x58021810,0x00000040
GPIOG,0x58021814,0x00000000
GPIOG,0x58021818,0x00000000
GPIOG,0x5802181C,0x00000000
GPIOG,0x58021820,0x0a000000
GPIOG,0x58021824,0x00000000
GPIOH,0x58021C00,0xffffffff
GPIOH,0x58021C04,0xffffffff
GPIOH,0x58021C08,0xffffffff
GPIOH,0x58021C0C,0xffffffff
GPIOH,0x58021C10,0xffffffff
GPIOH,0x58021C14,0xffffffff
GPIOH,0x58021C18,0xffffffff
GPIOH,0x58021C1C,0xffffffff
GPIOH,0x58021C20,0xffffffff
GPIOH,0x58021C24,0xffffffff
GPIOI,0x58022000,0xffffffff
GPIOI,0x58022004,0xffffffff
GPIOI,0x58022008,0xffffffff
GPIOI,0x5802200C,0xffffffff
GPIOI,0x58022010,0xffffffff
GPIOI,0x58022014,0xffffffff
GPIOI,0x58022018,0xffffffff
GPIOI,0x5802201C,0xffffffff
GPIOI,0x58022020,0xffffffff
GPIOI,0x58022024,0xffffffff
GPIOJ,0x58022400,0xffffffff
GPIOJ,0x58022404,0xffffffff
GPIOJ,0x58022408,0xffffffff
GPIOJ,0x5802240C,0xffffffff
GPIOJ,0x58022410,0xffffffff
GPIOJ,0x58022414,0xffffffff
GPIOJ,0x58022418,0xffffffff
GPIOJ,0x5802241C,0xffffffff
GPIOJ,0x58022420,0xffffffff
GPIOJ,0x58022424,0xffffffff
GPIOK,0x58022800,0xffffffff
GPIOK,0x58022804,0xffffffff
GPIOK,0x58022808,0xffffffff
GPIOK,0x5802280C,0xffffffff
GPIOK,0x58022810,0xffffffff
GPIOK,0x58022814,0xffffffff
GPIOK,0x58022818,0xffffffff
GPIOK,0x5802281C,0xffffffff
GPIOK,0x58022820,0xffffffff
GPIOK,0x58022824,0xffffffff
SCB,0xE000ED00,0x411fc271
SCB,0xE000ED04,0x00400000
SCB,0xE000ED08,0x08000000
SCB,0xE000ED0C,0xfa050000
SCB,0xE000ED10,0x00000000
SCB,0xE000ED14,0x00040200
SCB,0xE000ED18,0x00000000
SCB,0xE000ED1C,0x00000000
SCB,0xE000ED20,0x00000000
SCB,0xE000ED24,0x00000000
SCB,0xE000ED28,0x00000000
SCB,0xE000ED2C,0x00000000
SCB,0xE000ED30,0x00000001
MPU,0xE000ED90,0x00001000
MPU,0xE000ED94,0x00000000
MPU,0xE000ED98,0x00000000
MPU,0xE000ED9C,0x00000000
MPU,0xE000EDA0,0x00000000
MPU,0xE000EDA4,0x00000000
DBGMCU,0x5C001000,0x20036450
DBGMCU,0x5C001004,0x0070003f
DBGMCU,0x5C001008,0x00000000
DBGMCU,0x5C00100C,0x00000000
